model,task,weight_ED,alpha_std_batch,alpha_std_all,beta_batch,test_MAE
SchNet,u298,0.01,0,1.5,1,0.014396
SchNet,g298,0.01,0,1.5,1,0.014017
SchNet,cv,0.01,1.5,-1.5,0.5,0.031979
SchNet,gap,0.01,1.5,-1.5,0.5,0.049873
SchNet,lumo,0.01,1.5,-1.5,0.5,0.026198
SchNet,u0,0.01,1.5,-1.5,0.5,0.013575
SchNet,mu,0.01,1.5,-1.5,0.5,0.030936
SchNet,zpve,0.01,1.5,-1.5,0.5,0.00169
SchNet,alpha,0.01,1.5,-1.5,0.5,0.070115
SchNet,h298,0.01,1.5,-1.5,0.5,0.013797
SchNet,homo,0.01,1.5,-1.5,0.5,0.032183
SchNet,r2,0.01,1.5,-1.5,0.5,0.138069
SchNet,u298,0.01,1.5,-1.5,0.5,0.013948
SchNet,g298,0.01,1.5,-1.5,0.5,0.01388
SchNet,cv,0.01,-1.5,-1.5,0.5,0.032008
SchNet,gap,0.01,-1.5,-1.5,0.5,0.050117
SchNet,lumo,0.01,-1.5,-1.5,0.5,0.025705
SchNet,u0,0.01,-1.5,-1.5,0.5,0.014501
SchNet,mu,0.01,-1.5,-1.5,0.5,0.030687
SchNet,zpve,0.01,-1.5,-1.5,0.5,0.001711
SchNet,alpha,0.01,-1.5,-1.5,0.5,0.071408
SchNet,h298,0.01,-1.5,-1.5,0.5,0.014228
SchNet,homo,0.01,-1.5,-1.5,0.5,0.031968
SchNet,r2,0.01,-1.5,-1.5,0.5,0.130595
SchNet,u298,0.01,-1.5,-1.5,0.5,0.013904
SchNet,g298,0.01,-1.5,-1.5,0.5,0.014126
SchNet,cv,0.5,0,-1.5,0.5,0.031687
SchNet,gap,0.5,0,-1.5,0.5,0.050574
SchNet,lumo,0.5,0,-1.5,0.5,0.026091
SchNet,u0,0.5,0,-1.5,0.5,0.014272
SchNet,mu,0.5,0,-1.5,0.5,0.030526
SchNet,zpve,0.5,0,-1.5,0.5,0.001709
SchNet,alpha,0.5,0,-1.5,0.5,0.068349
SchNet,h298,0.5,0,-1.5,0.5,0.013934
SchNet,homo,0.5,0,-1.5,0.5,0.032345
SchNet,r2,0.5,0,-1.5,0.5,0.132211
SchNet,u298,0.5,0,-1.5,0.5,0.013921
SchNet,g298,0.5,0,-1.5,0.5,0.014274
SchNet,cv,1.0,0,0,0,0.03189
SchNet,gap,1.0,0,0,0,0.05006
SchNet,lumo,1.0,0,0,0,0.02592
SchNet,u0,1.0,0,0,0,0.013608
SchNet,mu,1.0,0,0,0,0.030075
SchNet,zpve,1.0,0,0,0,0.001709
SchNet,alpha,1.0,0,0,0,0.070279
SchNet,h298,1.0,0,0,0,0.013994
SchNet,homo,1.0,0,0,0,0.032144
SchNet,r2,1.0,0,0,0,0.134489
SchNet,u298,1.0,0,0,0,0.014246
SchNet,g298,1.0,0,0,0,0.014212
SchNet,cv,1.0,1.5,0,0.5,0.031843
SchNet,gap,1.0,1.5,0,0.5,0.050365
SchNet,lumo,1.0,1.5,0,0.5,0.026049
SchNet,u0,1.0,1.5,0,0.5,0.014021
